Id,X,Y,Z,dX,dY,dZ,Geological Model B
2826,883485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2827,884485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2828,885485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2829,886485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2830,887485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2831,888485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2832,889485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2833,890485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2834,891485,27915280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2835,892485,27915280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2836,893485,27915280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2837,894485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2838,895485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2839,896485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2840,897485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2841,898485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2842,899485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2843,900485,27915280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2844,901485,27915280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2845,902485,27915280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2848,873485,27916280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2849,874485,27916280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2850,875485,27916280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2851,876485,27916280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2852,877485,27916280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2853,878485,27916280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2854,879485,27916280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2855,880485,27916280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2856,881485,27916280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2857,882485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2858,883485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2859,884485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2860,885485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2861,886485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2862,887485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2863,888485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2864,889485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2865,890485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2866,891485,27916280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2867,892485,27916280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2868,893485,27916280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2869,894485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2870,895485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2871,896485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2872,897485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2873,898485,27916280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2874,899485,27916280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2875,900485,27916280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2876,901485,27916280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2877,902485,27916280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2880,873485,27917280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2881,874485,27917280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2882,875485,27917280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2883,876485,27917280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2884,877485,27917280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2885,878485,27917280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2886,879485,27917280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2887,880485,27917280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2888,881485,27917280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2889,882485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2890,883485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
