1_x,
Time,Acceleration
TIME,ACCEL
3.905,0.174695663
3.91,0.111168184
3.915,0.02919832
3.92,-0.050244371
3.925,-0.152542441
3.93,-0.25517884
3.935,-0.381429652
3.94,-0.507847177
3.945,-0.635147301
3.95,-0.756190782
3.955,-0.884334277
3.96,-1.002141564
3.965,-1.118546499
3.97,-1.224262186
3.975,-1.320857689
3.98,-1.410588536
3.985,-1.480411884
3.99,-1.543272511
3.995,-1.579360983
4,-1.609467398
4.005,-1.607996401
4.01,-1.596228421
4.015,-1.551019764
4.02,-1.501986514
4.025,-1.427750174
4.03,-1.354984831
4.035,-1.263586853
4.04,-1.171796609
4.045,-1.071376513
4.05,-0.966974917
4.055,-0.862249701
4.06,-0.752621161
4.065,-0.666293221
4.07,-0.578543317
4.075,-0.51383904
4.08,-0.445506303
4.085,-0.408692139
4.09,-0.368769267
4.095,-0.357677945
4.1,-0.343340623
4.105,-0.360443421
4.11,-0.375908508
4.115,-0.411889107
4.12,-0.444437378
4.125,-0.486782493
4.13,-0.522978838
4.135,-0.558361231
4.14,-0.595410755
4.145,-0.621643544
4.15,-0.646434755
4.155,-0.648464731
4.16,-0.649808242
4.165,-0.621937743
4.17,-0.590978149
4.175,-0.527136857
4.18,-0.465609935
4.185,-0.372093721
4.19,-0.282147127
4.195,-0.163182656
4.2,-0.049823666
4.205,0.084178322
4.21,0.212931791
4.215,0.357403359
4.22,0.494843559
4.225,0.641011677
4.23,0.783247329
4.235,0.929415447
4.24,1.067846119
4.245,1.20229529
4.25,1.331154671
4.255,1.451286134
4.26,1.564258742
4.265,1.663305907
4.27,1.755488417
4.275,1.83217642
4.28,1.902686233
4.285,1.95770154
4.29,2.007028989
4.295,2.042921328
4.3,2.073812276
4.305,2.0986231
4.31,2.118726733
4.315,2.130985045
4.32,2.140693629
4.325,2.142458826
4.33,2.14206656
4.335,2.134025107
4.34,2.12245326
4.345,2.103428359
4.35,2.081951795
4.355,2.052139579
4.36,2.019973767
4.365,1.978001305
4.37,1.936323043
4.375,1.879836739
4.38,1.826194363
4.385,1.759214944
4.39,1.700178911
4.395,1.62623677
4.4,1.553079161
4.405,1.45530686
4.41,1.359103624
4.415,1.237501164
4.42,1.116879369
4.425,0.966062898
4.43,0.817982483
4.435,0.636745785
4.44,0.457656742
4.445,0.250324548
4.45,0.048166342
4.455,-0.180099127
4.46,-0.403994753
4.465,-0.64524815
4.47,-0.879646698
4.475,-1.122959492
4.48,-1.359397823
4.485,-1.594463224
4.49,-1.823840767
4.495,-2.040567732
4.5,-2.252979771
4.505,-2.440777119
4.51,-2.622984676
4.515,-2.769103761
4.52,-2.912771183
4.525,-3.012700947
4.53,-3.108217718
4.535,-3.153720574
4.54,-3.196379501
4.545,-3.185984452
4.55,-3.173628073
4.555,-3.109198383
4.56,-3.042807362
4.565,-2.929246355
4.57,-2.819019609
4.575,-2.670841128
4.58,-2.530900232
4.585,-2.366050446
4.59,-2.204632987
4.595,-2.028505553
4.6,-1.856791111
4.605,-1.687136066
4.61,-1.521403681
4.615,-1.358613291
4.62,-1.199157162
4.625,-1.051469013
4.63,-0.903359178
4.635,-0.753052654
4.64,-0.604236838
4.645,-0.464256618
4.65,-0.325659233
4.655,-0.198721956
4.66,-0.074329504
4.665,0.040063107
4.67,0.15476855
4.675,0.26059211
4.68,0.365376166
4.685,0.463736865
4.69,0.560440241
4.695,0.649102164
4.7,0.737136461
4.705,0.81796287
4.71,0.8980832
4.715,0.966043285
4.72,1.033326711
4.725,1.08853815
4.73,1.141984393
4.735,1.181407126
4.74,1.220829859
4.745,1.244758085
4.75,1.268588244
4.755,1.275452899
4.76,1.282513687
4.765,1.273295436
4.77,1.264567518
4.775,1.240639292
4.78,1.216122667
4.785,1.178857397
4.79,1.142670858
4.795,1.098737066
4.8,1.055783939
4.805,1.003220295
4.81,0.948165762
4.815,0.891738298
4.82,0.836428792
4.825,0.783374815
4.83,0.731056338
4.835,0.684259004
4.84,0.638079489
4.845,0.600274853
4.85,0.56281345
4.855,0.53468788
4.86,0.506533086
4.865,0.487331665
4.87,0.468110631
4.875,0.457333123
4.88,0.445947602
4.885,0.439122174
4.89,0.432541912
4.895,0.427373807
4.9,0.421911503
4.905,0.41583138
4.91,0.408809819
4.915,0.39416849
4.92,0.377310859
4.925,0.351215363
4.93,0.324354949
4.935,0.280911489
4.94,0.239331293
4.945,0.18266847
4.95,0.126221392
4.955,0.053274626
4.96,-0.019018036
4.965,-0.10784373
4.97,-0.195564214
4.975,-0.298279066
4.98,-0.399787701
4.985,-0.513966527
4.99,-0.627027394
4.995,-0.748306235
5,-0.867515872
5.005,-0.989294852
5.01,-1.108935982
5.015,-1.224262186
5.02,-1.336842528
5.025,-1.439125888
5.03,-1.538761452
5.035,-1.621039245
5.04,-1.701649908
5.045,-1.759705276
5.05,-1.816583846
5.055,-1.846690262
5.06,-1.876306345
5.065,-1.876698611
5.07,-1.877483143
5.075,-1.848847725
5.08,-1.820898772
5.085,-1.766667998
5.09,-1.713515955
5.095,-1.637024085
5.1,-1.562395478
5.105,-1.469428436
5.11,-1.378226591
5.115,-1.272314771
5.12,-1.162382225
5.125,-1.04342756
5.13,-0.92360991
5.135,-0.805292678
5.14,-0.689250589
5.145,-0.58070078
5.15,-0.474484954
5.155,-0.3806157
5.16,-0.288747003
5.165,-0.212951405
5.17,-0.138695451
5.175,-0.083285917
5.18,-0.029068872
5.185,0.005637255
5.19,0.039778714
5.195,0.054992751
5.2,0.067919877
5.205,0.063842272
5.21,0.060077499
5.215,0.042392187
5.22,0.02534921
5.225,0.001020774
5.23,-0.023094661
5.235,-0.052896089
5.24,-0.081590347
5.245,-0.111030891
5.25,-0.139352497
5.255,-0.163849508
5.26,-0.187493341
5.265,-0.203389921
5.27,-0.218403902
5.275,-0.222522695
5.28,-0.226053089
5.285,-0.216599479
5.29,-0.206851668
5.295,-0.183354935
5.3,-0.159985688
5.305,-0.123426497
5.31,-0.08715366
5.315,-0.03834106
5.32,0.010796141
5.325,0.069508555
5.33,0.127211864
5.335,0.191514068
5.34,0.254561021
5.345,0.321265854
5.35,0.386666403
5.355,0.45315549
5.36,0.518379519
5.365,0.582524817
5.37,0.64521873
5.375,0.705088328
5.38,0.763535962
5.385,0.817796157
5.39,0.8708011
5.395,0.919010591
5.4,0.966102125
5.405,1.008025554
5.41,1.048428952
5.415,1.083242559
5.42,1.116683236
5.425,1.143553457
5.43,1.169344946
5.435,1.186506584
5.44,1.202981756
5.445,1.212788406
5.45,1.222104723
5.455,1.223771854
5.46,1.225340918
5.465,1.218476263
5.47,1.208767679
5.475,1.186114318
5.48,1.163460956
5.485,1.131491277
5.49,1.099325465
5.495,1.058431735
5.5,1.018028337
5.505,0.969269673
5.51,0.921236701
5.515,0.865662415
5.52,0.811166861
5.525,0.750463698
5.53,0.690809846
5.535,0.626272282
5.54,0.56298997
5.545,0.495912484
5.55,0.430296189
5.555,0.362130165
5.56,0.295199778
5.565,0.22549411
5.57,0.156955433
5.575,0.087881313
5.58,0.020310553
5.585,-0.047266092
5.59,-0.113276614
5.595,-0.179089042
5.6,-0.243312793
5.605,-0.307301184
5.61,-0.369710705
5.615,-0.431943706
5.62,-0.492597836
5.625,-0.553085253
5.63,-0.61196438
5.635,-0.670451241
5.64,-0.727329811
5.645,-0.783296362
5.65,-0.837556557
5.655,-0.890120201
5.66,-0.940997101
5.665,-0.989000653
5.67,-1.03558224
5.675,-1.078045035
5.68,-1.119036832
5.685,-1.155125304
5.69,-1.189742778
5.695,-1.218868529
5.7,-1.246621348
5.705,-1.268588244
5.71,-1.289476409
5.715,-1.304382517
5.72,-1.318504093
5.725,-1.327232011
5.73,-1.335371531
5.735,-1.338509659
5.74,-1.341157454
5.745,-1.339686457
5.75,-1.337528994
5.755,-1.33174307
5.76,-1.325564881
5.765,-1.315660164
5.77,-1.305068982
5.775,-1.290359007
5.78,-1.275354833
5.785,-1.255153134
5.79,-1.234853368
5.795,-1.207983147
5.8,-1.181210993
5.805,-1.146789651
5.81,-1.112466376
5.815,-1.069709382
5.82,-1.027148521
5.825,-0.975271343
5.83,-0.923884497
5.835,-0.863269593
5.84,-0.803429415
5.845,-0.734724025
5.85,-0.667273886
5.855,-0.59249818
5.86,-0.518585459
5.865,-0.438720101
5.87,-0.359855022
5.875,-0.27850886
5.88,-0.198555243
5.885,-0.118601625
5.89,-0.040253356
5.895,0.035762891
5.9,0.110226746
5.905,0.18058946
5.91,0.249402723
5.915,0.312841942
5.92,0.374859196
5.925,0.431090527
5.93,0.486017574
5.935,0.535511737
5.94,0.583819294
5.945,0.62780212
5.95,0.6706866
5.955,0.710825219
5.96,0.749914526
5.965,0.788160461
5.97,0.825347277
5.975,0.863563792
5.98,0.900672156
5.985,0.940447928
5.99,0.979007676
5.995,1.021460664
6,1.062550528
6.005,1.108249517
6.01,1.152379442
6.015,1.200922359
6.02,1.247994279
6.025,1.299479192
6.03,1.349591173
6.035,1.401272219
6.04,1.451580333
6.045,1.501398115
6.05,1.549548767
6.055,1.595051623
6.06,1.638691215
6.065,1.677427483
6.07,1.714398553
6.075,1.743818503
6.08,1.771277123
6.085,1.791086556
6.09,1.809523058
6.095,1.819721974
6.1,1.828940225
6.105,1.829724757
6.11,1.829724757
6.115,1.821977504
6.12,1.813543785
6.125,1.797951211
6.13,1.781868305
6.135,1.759705276
6.14,1.737051915
6.145,1.709102962
6.15,1.68085981
6.155,1.6478114
6.16,1.614762989
6.165,1.57720352
6.17,1.539840183
6.175,1.498259987
6.18,1.456777858
6.185,1.411667268
6.19,1.367145077
6.195,1.31801376
6.2,1.26927471
6.205,1.215142002
6.21,1.161009294
6.215,1.10030613
6.22,1.040093299
6.225,0.973241366
6.23,0.907330871
6.235,0.834898954
6.24,0.763555576
6.245,0.685769228
6.25,0.610326669
6.255,0.529549293
6.26,0.450537114
6.265,0.366994263
6.27,0.285736361
6.275,0.200712706
6.28,0.117336567
6.285,0.031620562
6.29,-0.052712705
6.295,-0.137920726
6.3,-0.221306671
6.305,-0.304408223
6.31,-0.385695545
6.315,-0.465747228
6.32,-0.543984682
6.325,-0.620290226
6.33,-0.694820766
6.335,-0.766978097
6.34,-0.83737023
6.345,-0.905114568
6.35,-0.971132936
6.355,-1.034307376
6.36,-1.095795071
6.365,-1.154340772
6.37,-1.211219342
6.375,-1.264665584
6.38,-1.316640829
6.385,-1.364497281
6.39,-1.410980802
6.395,-1.452560998
6.4,-1.49286633
6.405,-1.527189605
6.41,-1.560336082
6.415,-1.586323704
6.42,-1.611134529
6.425,-1.627707767
6.43,-1.643398407
6.435,-1.649674663
6.44,-1.655068321
6.445,-1.648890131
6.45,-1.641535144
6.455,-1.62231411
6.46,-1.602602743
6.465,-1.570731131
6.47,-1.539055651
6.475,-1.495121859
6.48,-1.451580333
6.485,-1.395976628
6.49,-1.340961321
6.495,-1.274962567
6.5,-1.209944477
6.505,-1.135708137
6.51,-1.062746661
6.515,-0.98292053
6.52,-0.904643849
6.525,-0.822503349
6.53,-0.741961332
6.535,-0.660536717
6.54,-0.580798846
6.545,-0.503130178
6.55,-0.427079608
6.555,-0.355706809
6.56,-0.285814814
6.565,-0.222512889
6.57,-0.160583894
6.575,-0.106460992
6.58,-0.05350214
6.585,-0.008935623
6.59,0.034665527
6.595,0.069852768
6.6,0.104264303
6.605,0.130653998
6.61,0.156572974
6.615,0.175097736
6.62,0.193210618
6.625,0.204694205
6.63,0.216167986
6.635,0.22183623
6.64,0.2273966
6.645,0.227288727
6.65,0.226798395
